program,tipe,kode,dimensi,penjelasan,atribut,pernyataan,opsi_atau_skala
YES,Skala 0-4,Y-R4.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Kegiatan Ekselensia Leadership Camp (ELC) menarik untuk  diikuti,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R4.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Kegiatan Ekselensia Leadership Camp (ELC) menumbuhkan jiwa kepemimpinan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R4.3,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Kegiatan Social Project atau YES Day Out menarik untuk diikuti,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R4.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Social Project atau YES Day Out meningkatkan kepedulian sosial saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R4.5,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Kegiatan Young Leadership Festival (Y-LF) menarik untuk diikuti,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R4.6,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Leadership Booster,Kegiatan Young Leadership Festival (Y-LF) meningkatkan motivasi untuk berprestasi,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,TalentHub Class menarik untuk diikuti oleh saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,Materi TalentHub Class sesuai dengan minat dan potensi awardee,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.3,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,"TalentHub Class membantu mengembangkan skill spesifik (public speaking, design grafis, writing dan fotografi)","{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,Penyampaian materi TalentHub Class mudah dipahami,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
